Size,Frequency of Purchases,Gender,Category,Location,Color,Season,Subscription Status,Payment Method,Shipping Type,Discount Applied,Preferred Payment Method,Age,Purchase Amount (USD),Review Rating,Previous Purchases
2,5,1,1,16,7,3,1,2,1,1,5,0.7115384615384616,0.4125000000000001,0.2400000000000002,0.26530612244897955
2,5,1,1,18,12,3,1,0,1,1,1,0.019230769230769273,0.55,0.2400000000000002,0.02040816326530612
0,6,1,1,20,12,1,1,1,2,1,2,0.6153846153846154,0.6625000000000001,0.2400000000000002,0.44897959183673464
1,6,1,2,38,12,1,1,4,3,1,4,0.05769230769230771,0.875,0.40000000000000013,0.9795918367346937
1,1,1,1,36,21,1,1,1,2,1,4,0.5192307692307693,0.36250000000000004,0.08000000000000007,0.6122448979591836
1,6,1,2,49,23,2,1,5,4,1,5,0.5384615384615385,0.0,0.15999999999999992,0.26530612244897955
1,2,1,1,25,7,0,1,3,2,1,1,0.8653846153846155,0.8125,0.28000000000000025,0.9795918367346937
2,6,1,1,17,4,3,1,3,2,1,2,0.17307692307692313,0.17500000000000004,0.28000000000000025,0.36734693877551017
2,1,1,3,47,19,2,1,5,1,1,5,0.15384615384615385,0.9625000000000001,0.040000000000000036,0.14285714285714285
1,2,1,0,24,16,1,1,4,0,1,1,0.7500000000000001,0.1375,0.9199999999999999,0.061224489795918366
2,4,1,2,3,17,0,1,2,5,1,0,0.6730769230769232,0.17500000000000004,0.6399999999999999,0.510204081632653
0,5,1,1,10,13,3,1,4,5,1,0,0.23076923076923084,0.6000000000000001,0.9600000000000002,0.18367346938775508
1,5,1,3,7,6,3,1,4,1,1,5,0.826923076923077,0.65,0.8,0.7346938775510203
1,6,1,1,28,22,1,1,3,1,1,4,0.9038461538461539,0.38750000000000007,0.8800000000000001,0.6122448979591836
2,6,1,3,31,20,3,1,4,2,1,3,0.8846153846153847,0.4125000000000001,0.8800000000000001,0.673469387755102
1,3,1,1,38,20,3,1,2,5,1,4,0.8846153846153847,0.7625,0.11999999999999988,0.14285714285714285
0,4,1,0,0,7,1,1,5,3,1,3,0.13461538461538464,0.2,0.6399999999999999,0.8775510204081631
3,2,1,1,23,10,3,1,3,0,1,5,0.6730769230769232,0.22500000000000003,0.8800000000000001,0.7142857142857142
0,6,1,1,25,1,2,1,0,2,1,1,0.6538461538461539,0.3500000000000001,0.8399999999999999,0.32653061224489793
1,4,1,1,38,8,2,1,5,4,1,3,0.9230769230769232,0.875,0.32000000000000006,0.9183673469387754
1,2,1,1,17,1,3,1,2,1,1,1,0.05769230769230771,0.38750000000000007,0.11999999999999988,1.0
1,2,1,1,32,4,3,1,2,5,1,3,0.25,0.525,0.6399999999999999,0.4285714285714285
1,1,1,1,4,15,2,1,1,5,1,3,0.730769230769231,0.21250000000000002,0.28000000000000025,0.6326530612244897
3,6,1,1,35,23,3,1,2,1,1,2,0.25,0.8500000000000001,0.7600000000000002,0.7959183673469387
1,6,1,3,8,8,0,1,1,5,1,3,0.0,0.025000000000000022,0.15999999999999992,0.3061224489795918
1,1,1,1,42,19,2,1,0,1,1,4,0.0,0.0625,0.44000000000000017,0.26530612244897955
1,1,1,0,27,18,1,1,1,3,1,2,0.3846153846153847,0.0,0.44000000000000017,0.24489795918367344
2,2,1,1,16,5,2,1,3,3,1,0,0.730769230769231,0.45000000000000007,1.0,0.12244897959183673
1,2,1,0,32,7,0,1,3,2,1,4,0.6923076923076924,0.925,0.7600000000000002,0.8163265306122448
0,6,1,1,49,1,0,1,5,5,1,2,0.25,0.3500000000000001,0.6399999999999999,0.26530612244897955
2,3,1,0,32,1,3,1,0,4,1,2,0.7500000000000001,0.1375,0.8800000000000001,0.3061224489795918
2,3,1,1,47,3,3,1,5,5,1,5,0.28846153846153855,0.7375,0.8800000000000001,0.8979591836734693
1,1,1,3,15,19,2,1,0,2,1,5,0.34615384615384615,0.5875,0.9600000000000002,0.7346938775510203
2,2,1,1,5,8,2,1,5,5,1,1,0.6923076923076924,0.22500000000000003,0.32000000000000006,0.8979591836734693
2,2,1,1,33,22,1,1,3,0,1,4,0.34615384615384615,0.8875,0.8399999999999999,0.7551020408163265
1,4,1,1,20,5,2,1,0,0,1,2,0.6923076923076924,0.16250000000000003,0.6000000000000001,0.9591836734693877
1,5,1,1,12,12,3,1,1,2,1,4,0.326923076923077,0.6125,0.8399999999999999,0.8775510204081631
0,6,1,1,13,5,2,1,3,5,1,4,0.326923076923077,0.3125,0.11999999999999988,0.18367346938775508
1,2,1,1,8,18,3,1,3,0,1,5,0.21153846153846156,0.21250000000000002,0.4800000000000002,0.8775510204081631
0,3,1,1,2,21,2,1,0,1,1,2,1.0,0.5,0.6800000000000002,0.346938775510204
2,2,1,0,17,0,3,1,4,3,1,3,0.980769230769231,0.7000000000000001,0.8399999999999999,0.6122448979591836
1,1,1,0,1,14,1,1,1,4,1,5,0.9423076923076924,0.23750000000000004,0.8,0.7959183673469387
